aX;aY;aZ;gX;gY;gZ
0.625;-0.510;0.228;-114.990;-97.778;-19.714
0.561;-0.304;0.318;-57.983;-107.361;-32.349
0.490;-0.279;0.380;38.879;-113.708;-53.101
0.520;-0.501;0.466;123.901;-105.774;-76.294
0.855;-0.983;0.578;154.480;-83.679;-94.971
0.925;-2.044;0.663;101.318;-59.692;-60.669
1.011;-2.414;0.834;42.603;-75.867;-14.099
1.186;-2.665;1.201;-3.174;-118.469;36.987
1.482;-2.711;1.883;-46.387;-173.950;84.900
1.445;-2.568;2.427;-57.312;-188.171;112.915
1.360;-2.470;2.608;-28.564;-152.832;106.445
1.240;-2.434;2.645;22.156;-123.108;91.003
0.985;-2.501;2.739;86.365;-112.122;89.417
1.061;-2.526;2.487;177.856;-102.539;101.929
1.071;-2.595;2.187;242.981;-86.121;121.338
1.461;-2.352;1.855;268.250;-78.735;141.663
1.710;-2.247;1.222;255.615;-62.866;144.958
1.155;-2.530;0.981;118.164;-36.011;141.418
0.913;-2.449;0.619;-56.213;-0.732;160.583
0.715;-2.307;0.360;-120.300;31.738;195.679
0.590;-2.119;0.007;-126.770;51.453;234.985
0.247;-1.867;-0.306;-140.259;71.411;260.437
-0.010;-1.503;-0.663;-169.373;90.698;276.245
-0.210;-1.102;-0.985;-206.848;101.624;280.029
-0.478;-0.698;-1.273;-220.398;98.389;273.010
-0.731;-0.206;-1.563;-208.252;83.557;257.019
-1.085;0.338;-2.045;-182.617;58.960;244.812
-1.339;1.018;-2.235;-156.616;27.893;234.192
-1.577;1.647;-1.968;-85.938;-1.282;194.946
-1.765;1.876;-1.507;70.068;-21.729;120.850
-1.694;1.930;-1.062;217.773;-21.118;47.241
-1.593;2.036;-0.693;252.869;-20.996;-3.906
-1.462;2.156;-0.641;196.167;-31.677;-36.804
-1.234;1.973;-0.818;99.365;-47.424;-55.664
-1.141;1.729;-1.070;-40.771;-89.355;-58.533
-1.149;1.563;-1.297;-161.438;-133.972;-43.091
-1.164;1.413;-1.616;-199.707;-151.550;-18.311
-1.190;1.169;-1.895;-178.162;-163.574;-14.099
-1.225;0.984;-1.914;-117.920;-181.946;-23.621
-1.373;0.843;-1.650;-15.015;-189.148;-30.273
-1.452;0.771;-1.353;102.478;-188.599;-41.931
-1.493;0.673;-1.098;201.721;-191.833;-63.965
-1.471;0.608;-0.891;258.972;-195.618;-88.440
-1.409;0.514;-0.802;288.940;-197.632;-111.206
-1.371;0.381;-0.873;312.012;-204.102;-129.150
-1.324;0.185;-0.898;312.378;-222.717;-140.137
-1.256;-0.004;-0.810;287.415;-253.540;-142.944
-1.125;-0.168;-0.623;254.639;-286.804;-139.343
-1.027;-0.355;-0.384;229.797;-311.462;-136.108
-0.831;-0.515;-0.141;220.032;-316.345;-134.827
-0.739;-0.662;0.026;221.619;-302.856;-132.141
-0.681;-0.742;0.084;223.816;-280.090;-124.512
-0.495;-0.813;0.103;213.135;-258.057;-110.657
-0.355;-0.821;0.250;176.392;-245.789;-93.140
-0.226;-0.740;0.434;123.596;-241.577;-71.899
-0.138;-0.688;0.592;75.562;-237.183;-48.279
-0.088;-0.577;0.830;28.320;-219.971;-27.954
-0.108;-0.487;1.010;-1.160;-196.960;-12.085
-0.127;-0.637;1.124;-9.399;-177.246;-3.357
-0.135;-1.002;1.148;-21.545;-165.466;-5.493
-0.087;-1.393;1.172;-42.664;-165.283;-5.493
0.036;-1.675;1.360;-69.519;-175.659;-2.869
0.295;-1.838;1.671;-87.891;-183.716;-5.371
0.411;-1.796;1.997;-75.500;-162.598;-10.498
0.314;-1.559;2.225;-49.438;-105.652;-24.658
0.003;-1.374;2.231;-26.428;-24.353;-45.776
-0.313;-1.361;2.066;-37.292;53.406;-71.960
-0.576;-1.558;1.922;-98.938;97.839;-99.487
-0.684;-2.303;1.726;-174.072;96.130;-118.713
-0.416;-4.000;3.624;-225.647;53.101;-99.121
2.996;-4.000;3.997;-627.747;56.641;96.191
-2.866;0.514;4.000;-1627.869;262.512;327.393
0.280;2.443;4.000;-1388.489;380.859;354.675
0.563;1.436;4.000;-314.575;327.820;-62.988
-0.243;0.675;2.569;362.549;322.388;-251.099
-0.193;0.153;1.779;637.756;340.149;-387.329
-0.602;-1.643;1.374;937.439;246.887;-381.104
-0.432;-4.000;0.585;995.728;156.128;-237.427
-0.345;-3.377;0.232;347.168;90.637;79.163
-0.232;-2.359;0.922;-40.222;-37.109;189.148
-0.073;-1.661;1.383;-145.691;-196.594;230.957
-0.042;-1.567;2.013;-62.805;-267.090;197.327
-0.001;-1.684;2.345;18.555;-254.883;128.235
0.143;-1.672;2.368;50.415;-191.833;81.665
0.250;-1.483;2.283;56.580;-125.122;54.016
