aX;aY;aZ;gX;gY;gZ
-0.848;1.353;1.826;-226.685;157.532;-104.492
-1.100;0.464;1.808;-207.153;138.367;-147.217
-1.285;0.126;1.702;-183.533;131.287;-164.612
-1.497;-0.151;1.577;-152.771;124.512;-185.730
-1.735;-0.502;1.380;-122.742;123.840;-209.229
-1.811;-0.914;0.988;-87.646;124.146;-228.394
-1.960;-1.248;0.380;-51.147;122.925;-235.413
-2.059;-1.476;-0.318;-31.555;109.558;-220.581
-1.980;-1.733;-0.917;-59.753;74.280;-186.523
-1.817;-1.772;-1.281;-129.822;20.874;-135.559
-1.691;-1.576;-1.422;-204.651;-40.649;-80.322
-1.639;-1.342;-1.405;-258.911;-101.196;-38.269
-1.598;-1.296;-1.416;-277.039;-153.015;-19.165
-1.501;-1.584;-1.532;-266.235;-194.092;-18.066
-1.425;-2.023;-1.842;-239.441;-222.351;-16.418
-1.352;-2.546;-2.269;-192.261;-253.845;-9.460
-1.185;-3.052;-2.430;-130.554;-293.030;1.404
-0.997;-3.468;-2.419;-54.199;-332.092;15.869
-0.674;-3.728;-2.066;38.757;-359.558;28.625
-0.260;-3.753;-1.345;133.423;-378.174;42.297
0.380;-3.659;-0.526;237.549;-366.577;40.039
1.123;-3.706;0.266;330.872;-335.815;23.376
1.865;-3.606;1.038;387.756;-298.218;15.076
2.542;-3.343;1.724;383.545;-253.235;26.062
3.154;-3.020;2.152;325.317;-221.375;61.584
3.604;-2.741;2.541;280.518;-204.224;122.437
3.832;-1.938;3.651;259.399;-196.716;201.599
3.797;-0.853;4.000;250.366;-177.979;265.930
3.491;0.227;4.000;219.299;-124.878;318.848
2.992;1.295;4.000;170.837;-46.387;360.107
2.368;1.922;4.000;145.386;28.870;374.573
1.723;2.325;4.000;127.869;90.881;370.483
1.107;2.749;3.500;98.267;127.380;367.187
0.619;3.071;3.182;52.795;137.939;359.985
0.241;3.181;3.128;-3.113;132.446;341.553
-0.112;3.451;3.005;-58.411;140.869;322.388
-0.422;3.867;2.573;-102.417;167.480;289.124
-0.574;4.000;2.189;-149.902;182.190;238.281
-0.673;4.000;1.951;-196.472;184.570;180.237
-0.779;4.000;2.012;-216.797;183.655;120.789
-0.780;3.949;2.264;-215.027;179.016;54.932
-0.892;3.450;2.351;-212.952;180.786;-14.160
-0.966;2.890;2.385;-218.994;173.889;-65.369
-0.944;2.191;2.447;-221.924;162.048;-105.835
-0.994;1.595;2.412;-221.985;155.945;-132.385
-1.063;1.140;2.294;-234.985;148.071;-148.071
-1.071;0.709;2.200;-250.122;133.850;-164.368
-1.083;0.315;2.141;-252.319;121.094;-174.438
-1.140;-0.041;2.074;-235.596;111.389;-180.481
-1.236;-0.334;1.927;-210.693;107.300;-192.200
-1.307;-0.696;1.676;-187.683;105.408;-210.327
-1.370;-1.110;1.230;-167.175;103.149;-223.022
-1.345;-1.490;0.740;-165.527;90.942;-222.107
-1.266;-1.774;0.260;-170.410;66.833;-208.130
-1.252;-1.689;-0.106;-174.133;49.072;-177.063
-1.270;-1.664;-0.507;-170.105;31.250;-144.653
-1.316;-1.625;-0.894;-164.978;4.822;-113.220
-1.403;-1.571;-1.251;-167.297;-34.485;-84.778
-1.439;-1.633;-1.461;-185.547;-83.130;-58.289
-1.423;-1.858;-1.717;-209.167;-130.981;-33.142
-1.444;-2.336;-2.229;-219.788;-174.622;-10.071
-1.476;-2.897;-2.868;-208.252;-225.159;20.203
-1.448;-3.429;-3.203;-177.429;-288.147;52.917
-1.331;-3.752;-3.079;-133.667;-346.619;81.848
-1.095;-3.824;-2.704;-54.077;-382.935;100.647
-0.774;-3.707;-2.212;61.035;-393.372;100.098
-0.325;-3.748;-1.378;192.383;-384.888;72.937
0.364;-3.887;-0.328;315.125;-361.694;31.738
1.078;-4.000;0.550;414.551;-325.684;-1.099
1.791;-4.000;1.329;458.679;-290.649;-13.733
2.387;-3.768;1.964;439.453;-254.944;10.376
2.834;-3.237;2.231;398.743;-221.863;58.838
3.219;-2.647;2.929;352.539;-213.745;127.502
3.525;-1.735;3.998;306.519;-222.534;210.510
3.538;-0.362;4.000;242.126;-203.918;298.096
3.482;1.011;4.000;158.630;-153.687;354.675
3.062;2.032;4.000;137.817;-64.758;368.103
2.455;2.590;4.000;150.024;44.312;355.347
1.782;2.849;4.000;148.926;123.596;330.444
1.159;2.970;4.000;129.089;160.583;310.730
0.635;2.946;3.844;83.740;173.706;299.561
0.159;3.057;3.354;18.555;179.077;296.326
-0.245;3.352;2.911;-50.842;183.655;293.030
-0.501;3.938;2.585;-122.253;184.265;272.644
-0.675;4.000;2.299;-190.002;183.105;221.924
-0.684;4.000;2.164;-236.023;187.195;150.024
-0.893;3.851;2.048;-243.103;191.284;73.792
-0.978;3.379;2.077;-245.789;192.261;-2.625
-1.005;2.760;2.115;-259.460;185.547;-66.650
-1.095;2.287;2.235;-279.419;174.194;-95.276
-1.194;1.857;2.373;-286.194;156.494;-112.793
-1.361;1.355;2.465;-273.193;141.052;-144.104
-1.422;0.818;2.480;-253.601;130.249;-183.411
-1.448;0.297;2.348;-212.646;131.165;-215.271
-1.543;-0.075;2.068;-152.649;136.230;-237.488
-1.647;-0.346;1.858;-94.360;142.090;-258.362
-1.643;-0.775;1.610;-45.654;151.306;-286.865
-1.651;-1.343;1.064;3.601;166.260;-311.096
-1.546;-1.784;0.279;50.903;173.096;-307.129
-1.439;-1.884;-0.503;70.007;166.443;-271.362
-1.347;-1.746;-1.010;49.438;133.301;-218.567
-1.295;-1.510;-1.090;-15.625;77.148;-158.508
-1.302;-1.349;-1.053;-98.511;15.320;-110.413
-1.307;-1.312;-1.123;-187.622;-29.907;-73.730
-1.335;-1.450;-1.399;-260.437;-62.927;-47.119
-1.352;-1.613;-1.997;-316.284;-88.745;-26.184
-1.396;-1.839;-2.786;-357.910;-122.253;-6.836
-1.420;-2.246;-3.364;-361.816;-179.993;6.104
-1.417;-2.529;-3.539;-295.288;-229.858;14.709
