aX;aY;aZ;gX;gY;gZ
0.310;-0.656;-2.258;-21.606;120.117;-70.923
0.200;-0.878;-3.057;20.630;147.034;-87.830
0.047;-1.110;-3.958;83.435;155.762;-85.327
-0.085;-1.278;-4.000;128.906;121.338;-65.979
-0.305;-1.431;-4.000;143.616;49.194;-36.865
-0.561;-1.398;-4.000;144.287;-32.471;-0.977
-0.847;-1.255;-3.999;136.414;-102.417;30.212
-1.054;-1.111;-3.605;116.150;-154.114;52.673
-1.178;-0.990;-3.258;96.191;-189.880;65.674
-1.295;-0.916;-2.946;97.107;-215.088;67.261
-1.372;-0.892;-2.627;113.525;-234.070;62.866
-1.483;-0.911;-2.292;136.658;-245.483;56.458
-1.594;-0.922;-1.976;166.321;-251.709;47.180
-1.688;-0.933;-1.685;191.956;-256.592;38.513
-1.759;-0.904;-1.439;200.989;-261.963;34.241
-1.784;-0.871;-1.199;193.115;-269.287;30.090
-1.779;-0.853;-0.942;177.917;-283.386;25.085
-1.746;-0.835;-0.743;162.659;-299.744;22.217
-1.676;-0.833;-0.472;148.315;-315.186;21.851
-1.601;-0.791;-0.174;137.268;-321.838;22.522
-1.525;-0.775;-0.008;141.724;-318.542;18.494
-1.461;-0.831;0.076;157.288;-309.143;8.240
-1.412;-0.870;0.142;171.814;-295.593;-4.761
-1.392;-0.885;0.130;190.491;-285.461;-22.827
-1.458;-0.840;0.278;207.886;-288.086;-47.241
-1.507;-0.776;0.520;212.646;-294.495;-72.205
-1.473;-0.782;0.805;209.045;-297.607;-101.135
-1.175;-0.761;1.159;195.312;-300.903;-132.690
-0.749;-0.813;1.728;183.167;-311.340;-155.151
-0.124;-0.962;2.729;174.561;-321.960;-164.185
0.591;-1.054;3.932;168.884;-310.181;-167.847
1.341;-1.216;4.000;169.617;-277.588;-175.293
1.950;-1.342;4.000;164.185;-214.172;-172.363
2.373;-1.539;4.000;146.240;-142.822;-160.583
2.606;-1.701;4.000;106.384;-71.838;-120.911
2.628;-1.812;4.000;54.626;-21.179;-67.993
2.526;-1.889;4.000;7.690;20.874;-10.559
2.293;-1.856;4.000;-35.522;63.538;46.814
1.905;-1.670;4.000;-67.017;92.041;93.872
1.461;-1.467;4.000;-82.275;112.549;121.704
1.102;-1.244;3.478;-95.642;134.644;130.310
0.798;-1.024;2.887;-99.243;157.593;120.239
0.568;-0.888;2.346;-88.928;181.030;97.473
0.406;-0.813;1.908;-75.745;203.308;69.824
0.264;-0.768;1.532;-56.946;221.924;45.227
0.121;-0.767;1.115;-41.809;238.098;25.085
0.011;-0.779;0.801;-53.101;250.244;11.047
-0.092;-0.816;0.570;-60.913;255.859;0.244
-0.211;-0.841;0.398;-38.269;259.521;-9.094
-0.338;-0.864;0.205;1.770;262.573;-17.517
-0.413;-0.882;-0.047;35.889;264.404;-26.611
-0.525;-0.882;-0.279;45.532;255.371;-33.997
-0.605;-0.837;-0.388;16.541;234.070;-36.255
-0.661;-0.818;-0.397;-31.433;210.144;-31.555
-0.772;-0.793;-0.386;-73.303;196.350;-24.231
-0.950;-0.725;-0.413;-103.699;199.768;-16.785
-1.063;-0.581;-0.461;-130.432;225.769;-9.033
-1.213;-0.500;-0.573;-139.648;254.089;-17.090
-1.246;-0.495;-0.753;-128.479;275.696;-27.771
-1.346;-0.569;-0.891;-125.122;276.001;-46.448
-1.450;-0.661;-0.940;-122.192;264.954;-59.570
-1.581;-0.726;-0.940;-111.145;249.695;-63.171
-1.608;-0.826;-1.031;-87.097;237.732;-59.021
-1.615;-0.894;-1.186;-75.073;220.764;-48.584
-1.607;-0.901;-1.317;-92.346;202.393;-28.015
-1.521;-0.812;-1.489;-134.888;221.558;6.897
-1.463;-0.664;-1.701;-185.364;239.380;42.542
-1.394;-0.553;-1.952;-232.056;223.450;58.594
-1.249;-0.435;-2.120;-280.396;208.801;62.195
-1.037;-0.353;-2.279;-309.875;195.679;51.636
-0.738;-0.325;-2.433;-311.096;187.378;31.372
-0.494;-0.360;-2.628;-282.532;185.364;5.798
